date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190801,0,1316A,32.0,15.0,21.0,32.0,46.0,4.0,4.0,26.0,32.0,66.0,151.0,82.0,122.0,0.4,0.4
20190801,1,1316A,23.0,15.0,20.0,23.0,45.0,6.0,4.0,26.0,32.0,57.0,151.0,57.0,57.0,0.5,0.4
20190801,2,1316A,29.0,14.0,20.0,29.0,44.0,4.0,4.0,25.0,31.0,54.0,151.0,56.0,57.0,0.3,0.4
20190801,3,1316A,24.0,14.0,20.0,24.0,43.0,4.0,4.0,27.0,31.0,48.0,151.0,53.0,57.0,0.4,0.4
20190801,4,1316A,33.0,14.0,19.0,33.0,42.0,6.0,4.0,26.0,30.0,47.0,151.0,52.0,57.0,0.7,0.4
20190801,5,1316A,32.0,14.0,19.0,32.0,41.0,4.0,4.0,22.0,29.0,49.0,151.0,51.0,57.0,0.4,0.4
20190801,6,1316A,32.0,15.0,18.0,32.0,40.0,3.0,4.0,34.0,29.0,31.0,151.0,48.0,57.0,0.3,0.4
20190801,7,1316A,44.0,16.0,18.0,44.0,39.0,3.0,4.0,30.0,28.0,30.0,151.0,45.0,57.0,0.4,0.4
20190801,8,1316A,34.0,15.0,17.0,34.0,37.0,5.0,4.0,30.0,26.0,36.0,151.0,44.0,57.0,0.4,0.4
20190801,9,1316A,37.0,14.0,16.0,37.0,36.0,4.0,4.0,28.0,25.0,51.0,151.0,43.0,57.0,0.4,0.4
20190801,10,1316A,39.0,14.0,16.0,39.0,34.0,4.0,4.0,32.0,24.0,66.0,151.0,45.0,57.0,0.5,0.4
20190801,11,1316A,30.0,14.0,15.0,30.0,33.0,3.0,4.0,25.0,24.0,91.0,151.0,50.0,57.0,0.3,0.4
20190801,12,1316A,44.0,14.0,15.0,44.0,34.0,2.0,4.0,22.0,24.0,103.0,151.0,57.0,57.0,0.3,0.3
20190801,13,1316A,35.0,13.0,15.0,34.0,33.0,2.0,4.0,13.0,23.0,111.0,151.0,65.0,65.0,0.2,0.3
20190801,14,1316A,40.0,13.0,14.0,20.0,32.0,2.0,3.0,13.0,23.0,125.0,143.0,77.0,77.0,0.3,0.3
20190801,15,1316A,37.0,13.0,14.0,35.0,32.0,2.0,3.0,15.0,23.0,116.0,127.0,87.0,87.0,0.4,0.3
20190801,16,1316A,,,14.0,,33.0,1.0,3.0,22.0,24.0,104.0,125.0,96.0,96.0,0.4,0.4
20190801,17,1316A,20.0,14.0,14.0,,33.0,1.0,3.0,25.0,24.0,,125.0,102.0,102.0,0.5,0.4
20190801,18,1316A,47.0,12.0,14.0,47.0,34.0,2.0,3.0,,25.0,86.0,125.0,105.0,105.0,0.5,0.4
20190801,19,1316A,44.0,11.0,14.0,44.0,35.0,1.0,3.0,,25.0,87.0,125.0,105.0,105.0,0.4,0.4
20190801,20,1316A,27.0,10.0,14.0,9.0,34.0,1.0,3.0,16.0,25.0,85.0,125.0,102.0,105.0,,0.4
20190801,21,1316A,25.0,9.0,14.0,8.0,33.0,1.0,3.0,15.0,24.0,78.0,125.0,97.0,105.0,0.4,0.4
20190801,22,1316A,23.0,8.0,13.0,3.0,31.0,1.0,3.0,20.0,24.0,72.0,125.0,90.0,105.0,0.4,0.4
20190801,23,1316A,22.0,6.0,13.0,5.0,29.0,1.0,3.0,16.0,23.0,68.0,125.0,83.0,105.0,0.4,0.4
20190802,0,1316A,20.0,4.0,12.0,2.0,28.0,1.0,3.0,13.0,22.0,62.0,125.0,77.0,105.0,0.4,0.4
20190802,1,1316A,20.0,4.0,12.0,5.0,27.0,1.0,2.0,13.0,22.0,61.0,125.0,61.0,61.0,0.4,0.4
20190802,2,1316A,18.0,4.0,12.0,15.0,26.0,1.0,2.0,14.0,21.0,55.0,125.0,58.0,61.0,0.4,0.4
20190802,3,1316A,16.0,4.0,11.0,16.0,26.0,1.0,2.0,23.0,21.0,42.0,125.0,53.0,61.0,0.4,0.4
20190802,4,1316A,15.0,4.0,11.0,10.0,25.0,1.0,2.0,20.0,21.0,47.0,125.0,51.0,61.0,0.4,0.4
20190802,5,1316A,16.0,4.0,10.0,9.0,24.0,1.0,2.0,15.0,21.0,49.0,125.0,51.0,61.0,0.4,0.4
20190802,6,1316A,14.0,4.0,10.0,14.0,23.0,1.0,2.0,19.0,20.0,37.0,125.0,48.0,61.0,0.4,0.4
20190802,7,1316A,14.0,4.0,9.0,14.0,22.0,1.0,2.0,28.0,20.0,31.0,125.0,46.0,61.0,0.5,0.4
20190802,8,1316A,17.0,4.0,9.0,17.0,21.0,1.0,2.0,26.0,20.0,34.0,125.0,44.0,61.0,0.5,0.4
20190802,9,1316A,14.0,4.0,8.0,5.0,19.0,1.0,1.0,22.0,19.0,43.0,125.0,42.0,61.0,0.5,0.4
20190802,10,1316A,20.0,4.0,8.0,20.0,18.0,1.0,1.0,18.0,19.0,56.0,125.0,42.0,61.0,0.5,0.4
20190802,11,1316A,17.0,5.0,7.0,14.0,18.0,1.0,1.0,24.0,19.0,52.0,125.0,44.0,61.0,0.6,0.4
20190802,12,1316A,22.0,4.0,7.0,22.0,17.0,1.0,1.0,16.0,18.0,65.0,125.0,46.0,61.0,0.5,0.4
20190802,13,1316A,24.0,4.0,7.0,9.0,16.0,1.0,1.0,15.0,19.0,76.0,125.0,49.0,61.0,0.5,0.4
20190802,14,1316A,25.0,5.0,6.0,16.0,15.0,2.0,1.0,14.0,19.0,79.0,116.0,54.0,61.0,0.5,0.4
20190802,15,1316A,26.0,6.0,6.0,19.0,15.0,1.0,1.0,16.0,19.0,81.0,104.0,61.0,61.0,0.5,0.5
20190802,16,1316A,26.0,7.0,6.0,19.0,15.0,1.0,1.0,24.0,19.0,82.0,87.0,67.0,67.0,0.6,0.5
20190802,17,1316A,30.0,8.0,6.0,17.0,15.0,1.0,1.0,19.0,18.0,93.0,93.0,73.0,73.0,0.6,0.5
20190802,18,1316A,32.0,7.0,6.0,19.0,14.0,1.0,1.0,18.0,18.0,100.0,100.0,78.0,78.0,0.6,0.5
20190802,19,1316A,30.0,8.0,5.0,21.0,13.0,1.0,1.0,20.0,18.0,93.0,100.0,84.0,84.0,0.5,0.5
20190802,20,1316A,30.0,9.0,5.0,30.0,14.0,1.0,1.0,29.0,19.0,79.0,100.0,85.0,85.0,0.6,0.5
20190802,21,1316A,34.0,11.0,6.0,34.0,15.0,1.0,1.0,28.0,20.0,71.0,100.0,85.0,85.0,0.6,0.5
20190802,22,1316A,33.0,12.0,6.0,33.0,16.0,1.0,1.0,28.0,20.0,66.0,100.0,83.0,85.0,0.6,0.5
20190802,23,1316A,32.0,13.0,6.0,32.0,17.0,2.0,1.0,25.0,20.0,65.0,100.0,81.0,85.0,0.5,0.5
20190803,0,1316A,24.0,13.0,6.0,24.0,18.0,1.0,1.0,28.0,21.0,66.0,100.0,79.0,85.0,0.6,0.5
20190803,1,1316A,38.0,15.0,7.0,38.0,19.0,1.0,1.0,33.0,22.0,56.0,100.0,56.0,56.0,0.5,0.5
20190803,2,1316A,36.0,17.0,7.0,36.0,20.0,1.0,1.0,23.0,22.0,71.0,100.0,64.0,64.0,0.5,0.5
20190803,3,1316A,33.0,17.0,8.0,33.0,21.0,2.0,1.0,19.0,22.0,84.0,100.0,70.0,70.0,0.5,0.5
20190803,4,1316A,39.0,17.0,8.0,39.0,22.0,2.0,1.0,21.0,22.0,76.0,100.0,72.0,72.0,0.5,0.5
20190803,5,1316A,37.0,16.0,9.0,37.0,23.0,2.0,1.0,16.0,22.0,88.0,100.0,75.0,75.0,0.6,0.5
20190803,6,1316A,29.0,16.0,9.0,28.0,24.0,2.0,1.0,15.0,22.0,91.0,100.0,78.0,78.0,0.6,0.5
20190803,7,1316A,33.0,17.0,10.0,33.0,25.0,2.0,1.0,16.0,21.0,89.0,100.0,79.0,79.0,0.7,0.5
20190803,8,1316A,32.0,15.0,10.0,27.0,25.0,2.0,1.0,15.0,21.0,100.0,100.0,82.0,82.0,0.6,0.6
20190803,9,1316A,27.0,15.0,11.0,22.0,26.0,2.0,1.0,17.0,21.0,84.0,100.0,85.0,85.0,0.6,0.6
20190803,10,1316A,29.0,14.0,11.0,16.0,26.0,2.0,1.0,13.0,20.0,92.0,100.0,88.0,88.0,0.6,0.6
20190803,11,1316A,33.0,13.0,12.0,22.0,26.0,2.0,1.0,12.0,20.0,103.0,103.0,90.0,90.0,0.6,0.6
20190803,12,1316A,34.0,13.0,12.0,27.0,26.0,1.0,1.0,11.0,20.0,106.0,106.0,94.0,94.0,0.6,0.6
20190803,13,1316A,37.0,14.0,12.0,20.0,27.0,1.0,1.0,10.0,20.0,117.0,117.0,98.0,98.0,0.6,0.6
20190803,14,1316A,39.0,15.0,13.0,33.0,27.0,1.0,1.0,10.0,19.0,122.0,122.0,102.0,102.0,0.6,0.6
20190803,15,1316A,38.0,15.0,13.0,31.0,28.0,1.0,1.0,10.0,19.0,121.0,122.0,106.0,106.0,0.6,0.6
