date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190701,0,1316A,54.0,16.0,14.0,57.0,51.0,8.0,7.0,51.0,27.0,91.0,206.0,144.0,183.0,0.7,0.6
20190701,1,1316A,57.0,18.0,14.0,64.0,51.0,6.0,7.0,100.0,30.0,42.0,206.0,42.0,42.0,0.7,0.6
20190701,2,1316A,62.0,19.0,14.0,74.0,51.0,6.0,7.0,124.0,34.0,18.0,206.0,30.0,42.0,0.8,0.6
20190701,3,1316A,71.0,21.0,14.0,82.0,51.0,6.0,7.0,141.0,39.0,5.0,206.0,22.0,42.0,1.0,0.6
20190701,4,1316A,83.0,23.0,14.0,116.0,54.0,6.0,7.0,135.0,44.0,5.0,206.0,18.0,42.0,1.0,0.7
20190701,5,1316A,82.0,24.0,15.0,114.0,57.0,6.0,7.0,123.0,48.0,4.0,206.0,15.0,42.0,0.9,0.7
20190701,6,1316A,80.0,27.0,15.0,109.0,60.0,8.0,7.0,118.0,52.0,5.0,206.0,13.0,42.0,0.9,0.7
20190701,7,1316A,81.0,28.0,16.0,112.0,63.0,8.0,7.0,110.0,55.0,8.0,206.0,12.0,42.0,1.2,0.7
20190701,8,1316A,76.0,32.0,17.0,101.0,66.0,11.0,7.0,102.0,58.0,26.0,206.0,14.0,42.0,1.2,0.7
20190701,9,1316A,72.0,43.0,18.0,93.0,69.0,11.0,7.0,88.0,60.0,59.0,206.0,16.0,42.0,1.0,0.8
20190701,10,1316A,68.0,41.0,19.0,86.0,71.0,11.0,7.0,62.0,62.0,112.0,206.0,28.0,42.0,0.9,0.8
20190701,11,1316A,50.0,33.0,20.0,49.0,71.0,8.0,7.0,33.0,63.0,158.0,206.0,47.0,47.0,0.7,0.8
20190701,12,1316A,55.0,30.0,21.0,44.0,71.0,7.0,8.0,37.0,64.0,164.0,206.0,67.0,67.0,0.7,0.8
20190701,13,1316A,73.0,23.0,22.0,55.0,72.0,6.0,7.0,28.0,64.0,178.0,206.0,89.0,89.0,0.6,0.8
20190701,14,1316A,101.0,19.0,22.0,45.0,72.0,5.0,7.0,13.0,65.0,202.0,206.0,113.0,113.0,0.5,0.8
20190701,15,1316A,105.0,18.0,22.0,38.0,71.0,5.0,7.0,11.0,64.0,210.0,210.0,139.0,139.0,0.5,0.8
20190701,16,1316A,102.0,18.0,22.0,33.0,70.0,4.0,7.0,13.0,64.0,203.0,210.0,161.0,161.0,0.5,0.8
20190701,17,1316A,103.0,18.0,23.0,42.0,70.0,4.0,7.0,12.0,63.0,206.0,210.0,179.0,179.0,0.5,0.8
