date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190501,0,1316A,170.0,47.0,57.0,290.0,210.0,6.0,8.0,91.0,53.0,21.0,142.0,89.0,129.0,0.8,0.9
20190501,1,1316A,170.0,44.0,56.0,290.0,216.0,6.0,8.0,71.0,53.0,36.0,142.0,36.0,36.0,0.7,0.9
20190501,2,1316A,143.0,45.0,56.0,235.0,219.0,5.0,8.0,72.0,52.0,28.0,142.0,32.0,36.0,0.7,0.9
20190501,3,1316A,137.0,47.0,55.0,224.0,222.0,5.0,8.0,95.0,52.0,6.0,142.0,23.0,36.0,0.8,0.9
20190501,4,1316A,145.0,48.0,54.0,240.0,227.0,5.0,8.0,100.0,53.0,6.0,142.0,19.0,36.0,0.8,0.9
20190501,5,1316A,142.0,48.0,54.0,234.0,231.0,5.0,8.0,92.0,53.0,8.0,142.0,17.0,36.0,0.9,0.9
20190501,6,1316A,147.0,52.0,53.0,244.0,237.0,7.0,8.0,93.0,54.0,7.0,142.0,15.0,36.0,1.0,0.9
20190501,7,1316A,170.0,57.0,53.0,290.0,245.0,7.0,8.0,93.0,54.0,8.0,142.0,14.0,36.0,1.1,0.9
20190501,8,1316A,162.0,61.0,53.0,274.0,251.0,9.0,8.0,97.0,55.0,9.0,142.0,14.0,36.0,0.9,0.9
20190501,9,1316A,131.0,65.0,53.0,211.0,253.0,12.0,8.0,92.0,58.0,20.0,142.0,12.0,36.0,0.8,0.8
20190501,10,1316A,115.0,60.0,52.0,180.0,252.0,14.0,8.0,60.0,59.0,61.0,142.0,16.0,36.0,0.8,0.8
20190501,11,1316A,90.0,49.0,51.0,130.0,246.0,9.0,8.0,28.0,59.0,93.0,142.0,26.0,36.0,0.6,0.8
20190501,12,1316A,70.0,44.0,50.0,90.0,238.0,7.0,8.0,20.0,59.0,104.0,142.0,39.0,39.0,0.5,0.8
20190501,13,1316A,54.0,38.0,50.0,54.0,230.0,5.0,8.0,15.0,59.0,114.0,142.0,52.0,52.0,0.4,0.8
20190501,14,1316A,48.0,33.0,49.0,43.0,221.0,2.0,7.0,8.0,59.0,124.0,142.0,67.0,67.0,0.3,0.7
20190501,15,1316A,48.0,32.0,48.0,48.0,213.0,3.0,7.0,9.0,58.0,129.0,142.0,82.0,82.0,0.3,0.7
20190501,16,1316A,45.0,30.0,48.0,45.0,206.0,3.0,7.0,8.0,58.0,132.0,140.0,97.0,97.0,0.3,0.7
20190501,17,1316A,43.0,30.0,47.0,41.0,198.0,3.0,7.0,14.0,57.0,128.0,136.0,111.0,111.0,0.3,0.7
20190501,18,1316A,41.0,28.0,46.0,41.0,189.0,4.0,6.0,16.0,56.0,125.0,132.0,119.0,119.0,0.4,0.7
20190501,19,1316A,44.0,27.0,45.0,44.0,180.0,3.0,6.0,24.0,56.0,113.0,132.0,121.0,121.0,0.4,0.7
20190501,20,1316A,52.0,29.0,44.0,53.0,171.0,3.0,6.0,46.0,56.0,83.0,132.0,118.0,121.0,0.5,0.7
20190501,21,1316A,61.0,31.0,44.0,71.0,163.0,3.0,6.0,75.0,57.0,46.0,132.0,110.0,121.0,0.5,0.6
20190501,22,1316A,70.0,32.0,43.0,89.0,156.0,3.0,6.0,106.0,59.0,15.0,132.0,96.0,121.0,0.6,0.6
20190501,23,1316A,84.0,34.0,42.0,117.0,149.0,3.0,6.0,107.0,60.0,12.0,132.0,82.0,121.0,0.7,0.6
20190502,0,1316A,75.0,36.0,42.0,100.0,141.0,4.0,5.0,113.0,61.0,9.0,132.0,66.0,121.0,0.7,0.6
20190502,1,1316A,83.0,37.0,41.0,116.0,134.0,4.0,5.0,115.0,62.0,6.0,132.0,6.0,6.0,0.7,0.6
20190502,2,1316A,120.0,91.0,43.0,117.0,129.0,7.0,5.0,93.0,63.0,25.0,132.0,16.0,16.0,0.6,0.6
20190502,3,1316A,94.0,70.0,44.0,116.0,124.0,10.0,6.0,50.0,61.0,54.0,132.0,28.0,28.0,0.6,0.6
20190502,4,1316A,89.0,66.0,45.0,94.0,118.0,7.0,6.0,49.0,59.0,56.0,132.0,35.0,35.0,0.5,0.6
20190502,5,1316A,,97.0,47.0,,112.0,7.0,6.0,40.0,57.0,68.0,132.0,42.0,42.0,0.5,0.6
20190502,6,1316A,,80.0,48.0,,105.0,7.0,6.0,50.0,55.0,59.0,132.0,45.0,45.0,0.5,0.6
20190502,7,1316A,94.0,70.0,49.0,78.0,96.0,8.0,6.0,58.0,54.0,53.0,132.0,46.0,46.0,0.6,0.5
20190502,8,1316A,92.0,68.0,49.0,86.0,88.0,9.0,6.0,53.0,52.0,64.0,132.0,48.0,48.0,0.6,0.5
20190502,9,1316A,89.0,66.0,49.0,88.0,83.0,13.0,6.0,47.0,50.0,77.0,132.0,57.0,57.0,0.6,0.5
20190502,10,1316A,74.0,54.0,49.0,78.0,79.0,10.0,6.0,29.0,49.0,112.0,132.0,68.0,68.0,0.6,0.5
