date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190101,0 ,1316A,152,116,85,184,135,21,21,79,65,6,48,13,35,1.6,1.3
20190101,1 ,1316A,133,101,87,178,139,21,21,79,66,6,48,6,6,1.6,1.3
20190101,2 ,1316A,134,102,88,162,142,23,21,79,67,6,48,6,6,1.7,1.3
20190101,3 ,1316A,140,107,90,172,145,21,22,78,67,6,48,6,6,1.7,1.3
20190101,4 ,1316A,143,109,92,171,148,19,21,77,67,6,48,6,6,1.8,1.4
20190101,5 ,1316A,147,112,93,170,150,18,21,80,68,6,48,6,6,1.8,1.4
20190101,6 ,1316A,148,113,95,178,153,17,21,79,68,6,48,6,6,1.7,1.4
20190101,7 ,1316A,156,119,96,182,155,17,21,82,68,5,48,6,6,1.8,1.4
20190101,8 ,1316A,145,111,96,189,157,20,21,81,69,5,48,6,6,1.7,1.5
20190101,9 ,1316A,138,105,96,185,158,20,21,78,69,6,48,6,6,1.7,1.5
20190101,10 ,1316A,137,104,97,182,159,22,21,78,70,9,48,6,6,1.9,1.5
20190101,11 ,1316A,133,101,97,178,160,23,21,70,70,19,48,8,8,1.6,1.5
20190101,12 ,1316A,125,95,98,166,161,22,21,66,71,29,48,11,11,1.5,1.5
20190101,13 ,1316A,124,94,98,154,162,22,21,60,71,37,48,14,14,1.5,1.5
20190101,14 ,1316A,129,98,100,162,163,21,21,60,72,41,48,19,19,1.5,1.5
20190101,15 ,1316A,129,98,101,180,166,21,21,58,73,45,45,24,24,1.5,1.5
20190101,16 ,1316A,130,99,102,158,168,24,21,60,73,46,46,29,29,1.5,1.6
20190101,17 ,1316A,137,104,104,163,170,26,21,72,74,33,46,32,32,1.6,1.6
20190101,18 ,1316A,152,116,105,167,172,27,22,75,74,31,46,35,35,1.7,1.6
20190101,19 ,1316A,168,127,107,186,173,26,22,76,74,27,46,36,36,1.6,1.6
20190101,20 ,1316A,169,128,109,186,174,22,22,79,74,20,46,35,36,1.7,1.6
20190101,21 ,1316A,170,129,109,188,175,22,22,85,74,15,46,32,36,1.7,1.6
20190101,22 ,1316A,175,132,110,187,176,23,22,93,75,9,46,28,36,1.8,1.7
20190101,23 ,1316A,185,139,111,194,176,21,22,92,76,10,46,24,36,1.7,1.7
20190102,0 ,1316A,193,145,112,204,177,21,22,92,76,8,46,19,36,1.7,1.7
20190102,1 ,1316A,203,153,114,213,178,21,22,93,77,6,46,6,6,1.7,1.7
20190102,2 ,1316A,210,160,117,216,180,21,22,93,77,6,46,6,6,1.8,1.7
20190102,3 ,1316A,217,167,119,216,182,21,22,95,78,6,46,6,6,1.8,1.7
20190102,4 ,1316A,228,178,122,229,185,22,22,94,79,6,46,6,6,1.9,1.7
20190102,5 ,1316A,236,186,125,246,188,22,22,96,79,6,46,6,6,1.9,1.7
20190102,6 ,1316A,230,180,128,242,191,19,22,93,80,6,46,6,6,2,1.7
20190102,7 ,1316A,226,176,130,248,193,18,22,88,80,6,46,6,6,2,1.7
20190102,8 ,1316A,232,182,133,256,196,17,22,99,81,6,46,6,6,2.1,1.7
20190102,9 ,1316A,233,183,136,278,200,17,22,95,82,6,46,6,6,2.2,1.7
20190102,10 ,1316A,225,175,139,257,203,18,22,87,82,11,46,7,7,2,1.7
20190102,11 ,1316A,210,160,142,246,206,17,21,79,82,22,46,9,9,1.8,1.8
20190102,12 ,1316A,175,132,143,228,208,18,21,59,82,50,50,14,14,1.5,1.8
20190102,13 ,1316A,155,118,144,198,210,15,21,38,81,78,78,23,23,1.4,1.8
20190102,14 ,1316A,150,115,145,163,210,15,21,34,80,90,90,34,34,1.3,1.7
20190102,15 ,1316A,156,119,146,163,210,20,21,38,79,94,94,45,45,1.4,1.7
20190102,16 ,1316A,166,126,147,175,210,31,21,53,79,81,94,54,54,1.5,1.7
20190102,17 ,1316A,160,122,148,208,212,31,21,63,79,67,94,62,62,1.5,1.7
20190102,18 ,1316A,152,116,148,177,213,20,21,62,78,64,94,68,68,1.4,1.7
20190102,19 ,1316A,156,119,148,175,212,17,20,71,78,53,94,72,72,1.4,1.7
20190102,20 ,1316A,150,115,147,170,212,20,20,85,78,37,94,70,72,1.5,1.7
20190102,21 ,1316A,142,108,146,163,210,21,20,94,79,24,94,64,72,1.5,1.7
20190102,22 ,1316A,142,108,145,165,210,23,20,88,78,25,94,56,72,1.4,1.7
20190102,23 ,1316A,148,113,144,176,209,20,20,86,78,23,94,47,72,1.5,1.7
20190103,0 ,1316A,153,117,143,175,208,23,20,81,78,22,94,39,72,1.5,1.7
20190103,1 ,1316A,160,122,142,181,206,24,20,78,77,20,94,20,20,1.5,1.7
20190103,2 ,1316A,159,121,140,182,205,22,20,86,77,13,94,16,20,1.5,1.6
20190103,3 ,1316A,159,121,138,174,203,19,20,84,76,14,94,16,20,1.4,1.6
20190103,4 ,1316A,165,125,136,176,201,18,20,89,76,8,94,14,20,1.5,1.6
20190103,5 ,1316A,166,126,133,189,199,17,20,87,76,7,94,12,20,1.5,1.6
20190103,6 ,1316A,163,124,131,178,196,16,20,85,75,6,94,11,20,1.5,1.6
20190103,7 ,1316A,168,127,129,181,193,17,20,82,75,6,94,11,20,1.6,1.6
20190103,8 ,1316A,176,133,127,188,190,19,20,84,74,6,94,10,20,1.8,1.5
20190103,9 ,1316A,188,141,125,215,188,24,20,82,74,9,94,9,20,1.8,1.5
20190103,10 ,1316A,198,148,124,228,186,21,20,80,74,10,94,8,20,1.9,1.5
20190103,11 ,1316A,203,153,124,224,186,20,20,83,74,13,94,8,20,2,1.5
20190103,12 ,1316A,203,153,125,241,186,18,20,92,75,14,94,9,20,2,1.6
20190103,13 ,1316A,200,150,126,235,188,16,20,100,78,19,94,10,20,1.9,1.6
20190103,14 ,1316A,198,148,127,217,190,16,21,83,80,30,94,13,20,,1.6
20190103,15 ,1316A,133,,128,216,192,18,20,70,81,38,81,17,20,1.3,1.6
20190103,16 ,1316A,189,142,128,204,193,15,20,54,81,57,67,24,24,1.2,1.6
20190103,17 ,1316A,189,142,129,178,192,15,19,54,81,60,64,30,30,1.2,1.6
20190103,18 ,1316A,211,161,131,194,193,20,19,72,81,44,60,34,34,1.4,1.6
20190103,19 ,1316A,237,187,134,227,195,30,20,90,82,28,60,36,36,1.7,1.6
20190103,20 ,1316A,240,190,137,239,198,29,20,96,82,21,60,37,37,1.4,1.6
20190103,21 ,1316A,225,175,140,229,200,20,20,92,82,23,60,38,38,1.1,1.5
20190103,22 ,1316A,218,168,143,220,203,15,20,75,82,31,60,38,38,1,1.5
20190103,23 ,1316A,222,172,145,199,204,12,19,74,81,25,60,36,38,0.9,1.5
20190104,0 ,1316A,234,184,148,208,205,9,19,92,82,8,60,30,38,1.2,1.5
20190104,1 ,1316A,248,198,152,212,206,8,18,92,82,5,60,5,5,1.2,1.5
20190104,2 ,1316A,250,200,155,209,208,8,18,87,82,6,60,6,6,1.2,1.5
20190104,3 ,1316A,254,204,159,215,209,8,17,79,82,10,60,7,7,1.3,1.5
20190104,4 ,1316A,259,209,162,210,211,8,17,68,81,14,60,9,9,0.9,1.4
20190104,5 ,1316A,255,205,166,211,212,8,16,60,80,20,60,11,11,0.9,1.4
20190104,6 ,1316A,253,203,169,205,213,7,16,49,79,30,60,14,14,0.7,1.4
20190104,7 ,1316A,256,206,173,221,214,7,15,48,77,30,60,16,16,0.7,1.3
20190104,8 ,1316A,245,195,175,215,216,8,15,48,76,32,60,18,18,0.7,1.3
