date,hour,stationID,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
20190301,0,1316A,64.0,42.0,75.0,77.0,116.0,8.0,12.0,37.0,42.0,74.0,136.0,91.0,118.0,0.1,0.4
20190301,1,1316A,64.0,42.0,74.0,77.0,115.0,8.0,12.0,36.0,42.0,66.0,136.0,66.0,66.0,0.1,0.4
20190301,2,1316A,70.0,51.0,73.0,75.0,113.0,8.0,12.0,63.0,43.0,34.0,136.0,50.0,66.0,0.1,0.3
20190301,3,1316A,72.0,52.0,72.0,83.0,112.0,9.0,12.0,65.0,44.0,30.0,136.0,43.0,66.0,0.1,0.3
20190301,4,1316A,82.0,60.0,72.0,85.0,112.0,14.0,12.0,69.0,46.0,21.0,136.0,38.0,66.0,0.2,0.3
20190301,5,1316A,92.0,68.0,71.0,97.0,111.0,18.0,12.0,75.0,47.0,10.0,136.0,32.0,66.0,0.2,0.3
20190301,6,1316A,92.0,68.0,71.0,103.0,111.0,24.0,12.0,76.0,49.0,8.0,136.0,28.0,66.0,0.3,0.3
20190301,7,1316A,94.0,70.0,71.0,105.0,111.0,26.0,13.0,76.0,50.0,8.0,136.0,25.0,66.0,0.4,0.3
20190301,8,1316A,98.0,73.0,71.0,109.0,111.0,20.0,14.0,80.0,50.0,8.0,136.0,23.0,66.0,0.6,0.3
20190301,9,1316A,103.0,77.0,70.0,114.0,110.0,18.0,14.0,77.0,50.0,15.0,136.0,17.0,66.0,0.6,0.3
20190301,10,1316A,90.0,67.0,70.0,113.0,109.0,15.0,14.0,79.0,50.0,19.0,136.0,15.0,66.0,0.5,0.3
20190301,11,1316A,82.0,60.0,68.0,111.0,107.0,15.0,14.0,66.0,51.0,41.0,136.0,16.0,66.0,0.4,0.3
20190301,12,1316A,89.0,66.0,66.0,100.0,105.0,12.0,14.0,63.0,52.0,47.0,136.0,20.0,66.0,0.3,0.3
20190301,13,1316A,84.0,62.0,64.0,98.0,103.0,9.0,14.0,34.0,52.0,86.0,136.0,29.0,66.0,0.2,0.3
20190301,14,1316A,87.0,64.0,63.0,88.0,102.0,8.0,13.0,25.0,51.0,95.0,136.0,40.0,66.0,0.2,0.3
20190301,15,1316A,87.0,64.0,62.0,69.0,99.0,8.0,13.0,23.0,51.0,106.0,136.0,52.0,66.0,0.2,0.3
20190301,16,1316A,87.0,64.0,61.0,87.0,97.0,7.0,13.0,25.0,51.0,108.0,129.0,65.0,66.0,0.2,0.3
20190301,17,1316A,92.0,68.0,61.0,89.0,96.0,7.0,13.0,28.0,51.0,106.0,120.0,76.0,76.0,0.2,0.3
20190301,18,1316A,99.0,74.0,61.0,95.0,95.0,7.0,12.0,32.0,51.0,99.0,108.0,86.0,86.0,0.2,0.3
20190301,19,1316A,103.0,77.0,62.0,98.0,94.0,7.0,12.0,37.0,51.0,87.0,108.0,92.0,92.0,0.3,0.3
20190301,20,1316A,105.0,79.0,63.0,103.0,94.0,7.0,12.0,47.0,52.0,71.0,108.0,95.0,95.0,0.3,0.3
20190301,21,1316A,97.0,72.0,64.0,105.0,95.0,7.0,12.0,55.0,52.0,63.0,108.0,92.0,95.0,0.3,0.3
20190301,22,1316A,84.0,62.0,64.0,95.0,95.0,7.0,12.0,54.0,53.0,65.0,108.0,88.0,95.0,0.2,0.3
20190301,23,1316A,88.0,65.0,64.0,83.0,94.0,7.0,12.0,42.0,53.0,80.0,108.0,85.0,95.0,0.2,0.3
20190302,0,1316A,94.0,70.0,66.0,86.0,94.0,7.0,11.0,48.0,53.0,66.0,108.0,80.0,95.0,0.3,0.3
20190302,1,1316A,102.0,76.0,67.0,99.0,95.0,7.0,11.0,60.0,54.0,46.0,108.0,46.0,46.0,0.6,0.3
20190302,2,1316A,108.0,81.0,68.0,106.0,97.0,8.0,11.0,75.0,55.0,29.0,108.0,38.0,46.0,0.3,0.3
20190302,3,1316A,112.0,84.0,70.0,120.0,98.0,7.0,11.0,64.0,55.0,39.0,108.0,38.0,46.0,0.3,0.3
20190302,4,1316A,114.0,86.0,71.0,114.0,99.0,7.0,11.0,53.0,54.0,51.0,108.0,41.0,46.0,0.9,0.3
20190302,5,1316A,120.0,91.0,72.0,119.0,100.0,8.0,11.0,84.0,54.0,11.0,108.0,35.0,46.0,0.6,0.4
20190302,6,1316A,124.0,94.0,73.0,134.0,102.0,8.0,10.0,87.0,55.0,6.0,108.0,30.0,46.0,0.4,0.4
20190302,7,1316A,123.0,93.0,74.0,126.0,103.0,7.0,9.0,88.0,55.0,5.0,108.0,27.0,46.0,0.4,0.4
20190302,8,1316A,123.0,93.0,75.0,118.0,103.0,7.0,9.0,82.0,55.0,14.0,108.0,25.0,46.0,0.4,0.4
20190302,9,1316A,119.0,90.0,75.0,115.0,103.0,8.0,8.0,69.0,55.0,42.0,108.0,25.0,46.0,0.3,0.3
20190302,10,1316A,112.0,84.0,76.0,111.0,103.0,8.0,8.0,60.0,54.0,59.0,108.0,28.0,46.0,0.3,0.3
20190302,11,1316A,105.0,79.0,77.0,117.0,103.0,8.0,8.0,42.0,53.0,84.0,108.0,34.0,46.0,0.3,0.3
20190302,12,1316A,109.0,82.0,77.0,109.0,104.0,7.0,7.0,29.0,52.0,98.0,108.0,40.0,46.0,0.3,0.3
20190302,13,1316A,115.0,87.0,78.0,124.0,105.0,8.0,7.0,27.0,52.0,106.0,108.0,52.0,52.0,0.4,0.3
20190302,14,1316A,115.0,87.0,79.0,114.0,106.0,7.0,7.0,23.0,51.0,116.0,116.0,66.0,66.0,0.4,0.3
20190302,15,1316A,113.0,85.0,80.0,113.0,108.0,7.0,7.0,21.0,51.0,122.0,122.0,80.0,80.0,0.4,0.4
20190302,16,1316A,108.0,81.0,81.0,109.0,108.0,7.0,7.0,20.0,51.0,126.0,126.0,94.0,94.0,0.3,0.4
20190302,17,1316A,109.0,82.0,81.0,101.0,109.0,7.0,7.0,31.0,51.0,111.0,126.0,103.0,103.0,0.3,0.4
20190302,18,1316A,125.0,95.0,82.0,118.0,110.0,7.0,7.0,58.0,52.0,73.0,126.0,104.0,104.0,0.4,0.4
20190302,19,1316A,134.0,102.0,83.0,112.0,110.0,6.0,7.0,58.0,53.0,71.0,126.0,103.0,104.0,0.4,0.4
20190302,20,1316A,145.0,111.0,85.0,132.0,112.0,7.0,7.0,69.0,54.0,47.0,126.0,96.0,104.0,0.4,0.4
20190302,21,1316A,135.0,103.0,86.0,139.0,113.0,6.0,7.0,57.0,54.0,71.0,126.0,92.0,104.0,0.4,0.4
20190302,22,1316A,152.0,116.0,88.0,134.0,115.0,6.0,7.0,57.0,54.0,57.0,126.0,85.0,104.0,0.5,0.4
20190302,23,1316A,160.0,122.0,91.0,134.0,117.0,7.0,7.0,38.0,54.0,74.0,126.0,79.0,104.0,0.4,0.4
20190303,0,1316A,162.0,123.0,93.0,142.0,119.0,7.0,7.0,38.0,54.0,68.0,126.0,72.0,104.0,0.4,0.4
20190303,1,1316A,155.0,118.0,95.0,149.0,121.0,7.0,7.0,41.0,53.0,61.0,126.0,61.0,61.0,0.4,0.4
